ID,Category,Intent,User Type,Programme Group,Programme Detail,Main Question,Alternate Questions,Real Student Variants,Answer,Dynamic/ Static,Source Link,Escalation Contact,Last Updated,Status
38,Admissions,abc_id_requirement,Prospective Student,ALL,ALL,Is ABC ID required during admission?,abc id compulsory;  academic bank id; abc id banana zaruri hai kya; abc zaruri hai; registration ku abc banana zaruri hai kya;  ,,"Yes, students are required to create an ABC ID before filling in the admission form, as per University and Government guidelines.",Static,Prospectus – Admission Guidelines,admissions@manuu.edu.in,22-05-2026,Active
,Admissions,abc_id_meaning,Prospective Student,ALL,ALL,What is ABC ID?,abc id kya hota; abc id kya rehta; abc id kaiku banana; why abc id; why should i create abc id; abc id kyun banaein; ,,"An ABC ID (Academic Bank of Credits ID) is a unique 12-digit digital identification number for students in India that acts like a virtual bank account for academic credits. It securely stores, transfers, and redeems credits earned from different universities, allowing students to seamlessly change colleges, switch courses, or resume their education after a break. Students can easily generate this permanent digital ID for free using their Aadhaar card on government platforms like DigiLocker or the official abc.gov.in portal.",Static,,,,Active
,Admissions,abc_id_creation,Prospective Student,ALL,ALL,How to create ABC ID?,abc id kaisa banana; create new ABC ID; create academic bank of credits ID,,"ABC ID can be created using  either of the 2 following methods: 
1. ABC Portal -    https://www.abc.gov.in
2. DigiLocker -  https://www.digilocker.gov.in
You can find the complete guide for creating your ABC ID by clicking on the following link: https://www.caluniv-ucsta.net/ma/notice-2026/How%20to%20create%20ABC%20Id%20or%20APAAR%20Id.pdf",Static,,,,Active
86,Admissions,admission_acknowledgement_download,Prospective Student,ALL,ALL,How can I download my admission acknowledgement receipt?,acknowledgement receipt; application receipt; payment receipt; admission slip download,,Students can download the acknowledgement or payment receipt from the admission portal dashboard.,Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
106,Admissions,admission_after_failed_degree,Prospective Student,ALL,BACKLOG STUDENTS,Can students with backlogs apply for admission?,backlog students apply; failed subjects admission; supplementary students eligible; arrears admission;  fail students admission le sakte kya; ,,"No. Students with backlog subjects in the qualifying examination are not eligible to apply for any programme offered by CDOE. Applicants must have successfully passed the prescribed qualifying examination before they can register for admission. For example, a student seeking admission to CDOE's MBA programme must have completed and passed a minimum three-year undergraduate degree (or an equivalent qualification). If any subjects from the qualifying examination remain uncleared, the student must first pass those pending subjects and obtain the required qualification before applying to CDOE programmes.",Static,Eligibility Rules,admissions@manuu.edu.in,22-05-2026,Active
82,Admissions,admission_after_gap_year,Prospective Student,ALL,GAP YEAR STUDENTS,Can I apply after a long gap in studies?,gap after studies; many years later admission; old students apply; study break admission; gap admission; ,,"Yes, students with a gap in education may apply subject to programme eligibility criteria.",Static,Eligibility Criteria,admissions@manuu.edu.in,22-05-2026,Active
76,Admissions,admission_cancel_due_to_documents,Prospective Student,ALL,ALL,Can admission be cancelled after verification?,admission cancel ho sakta kya; verification fail; fake documents issue; admission reject baad me,,"Yes, admission may be cancelled if submitted information or documents are found invalid.",Static,Admission Rules,admissions@manuu.edu.in,22-05-2026,Active
59,Admissions,admission_cancellation,Current Student,ALL,ALL,How can I cancel my admission?,cancel admission; admission withdrawal; discontinue admission; admission cancel kaise kare,,"If the student intends to cancel or discontinue the programme of study at any point of time, she/he may do so only through SAMARTH admission portal. The program fee paid by the student will be refunded as per the existing fee refund policy prescribed by the UGC-DEB. ",Dynamic,Refund Policy,admissions@manuu.edu.in,22-05-2026,Active
,Admissions,admission_cancellation_refund,Current Student,ALL,ALL,What is the fee refund policy?,kitni fees refund hoti; admission fee refund; refund policy kya hai; paise kitne wapas milte; kitni fees wapas aati; ,,,Dynamic,,,,
75,Admissions,admission_confirmation_time,Prospective Student,ALL,ALL,How long does admission confirmation take?,admission confirmation kab; approval time; admission verified kab hoga; confirmation pending,,Admission confirmation timelines depend on document verification and University processing.,Dynamic,Admission Process,admissions@manuu.edu.in,22-05-2026,Active
124,Admissions,admission_email_not_received,Prospective Student,ALL,ALL,What should I do if I do not receive admission confirmation email?,confirmation mail nahi aaya; admission email missing; registration mail issue; approval email pending,,Check your spam or junk folder and verify your email address. Contact support if needed.,Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
132,Admissions,admission_for_disabled_students,Prospective Student,ALL,PWD APPLICANTS,Are special facilities available for differently-abled students?,disabled student support; pwd facilities; special assistance; handicapped support,,Support facilities are provided as per University policies and available infrastructure.,Static,University Support Services,admissions@manuu.edu.in,22-05-2026,Active
135,Admissions,admission_for_housewives,Prospective Student,ALL,HOMEMAKERS,Can homemakers or housewives apply for ODL programmes?,housewife admission; ghar se degree; homemaker study; ladies distance education,,"Yes, ODL programmes are suitable for homemakers and flexible learners.",Static,Programme Overview,admissions@manuu.edu.in,22-05-2026,Active
103,Admissions,admission_for_married_women,Prospective Student,ALL,WOMEN APPLICANTS,Can married women apply for ODL programmes?,married ladies admission; housewife degree; shaadi ke baad study; khawateen admission,,"Yes, married women are eligible to apply subject to programme eligibility criteria.",Static,Eligibility Criteria,admissions@manuu.edu.in,22-05-2026,Active
119,Admissions,admission_for_multiple_categories,Prospective Student,ALL,RESERVED CATEGORY APPLICANTS,Can I claim more than one reservation category?,multiple reservation; do categories; sc and pwd together; reservation combination,,"Yes, students can claim more than one reservation through a system of horizontal reservation. There are twocategories of reservations. 
Vertical Reservations (Caste/Community): These are the primary categories like General, EWS, OBC, SC, and ST. You can only claim one of these. If you qualify under merit, you may be considered for the general unreserved pool without using your reserved quota.
Horizontal Reservations (Special Categories): These are additional quotas that cut across all vertical categories. Examples include Women, Persons with Disabilities (PwD), Children of Armed Personnel (CAP), NCC, or Sports quotas. 
For instance, if you are an OBC student who is also a female athlete with a Sports quota, you can simultaneously claim your OBC status along with the Women’s and Sports reservations. The seat allocation system generally prioritizes candidates who have the highest number of applicable claims alongside high merit. ",Static,Reservation Policy,admissions@manuu.edu.in,22-05-2026,Active
136,Admissions,admission_for_retired_people,Prospective Student,ALL,RETIRED LEARNERS,Can retired persons apply for admission?,retired people study; senior learners; retirement ke baad degree; retired admission,,"Yes, retired persons may apply subject to eligibility criteria.",Static,Eligibility Rules,admissions@manuu.edu.in,22-05-2026,Active
115,Admissions,admission_for_rural_students,Prospective Student,ALL,RURAL STUDENTS,Can rural students apply for ODL programmes?,village students admission; rural area learners; gaon se apply; remote students admission,,"Yes, ODL programmes are designed to support learners from diverse regions including rural areas.",Static,Programme Overview,admissions@manuu.edu.in,22-05-2026,Active
139,Admissions,admission_for_rural_women,Prospective Student,ALL,RURAL WOMEN LEARNERS,Can rural women apply for ODL programmes from home?,gaon ki ladies admission; rural women study; ghar se degree; village women education,,"Yes, ODL programmes are designed to support flexible learning for students from all regions.",Static,Programme Overview,admissions@manuu.edu.in,22-05-2026,Active
112,Admissions,admission_form_print,Prospective Student,ALL,ALL,Can I print my submitted admission form?,form print kaise kare; application print; submitted form pdf; print application,,"Yes, students can usually download or print their submitted application form from the portal dashboard, for their reference. ",Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
80,Admissions,admission_helpdesk_contact,Prospective Student,ALL,ALL,How can I contact the admission helpdesk?,admission helpline; support number; admission enquiry; helpdesk contact kya,,Students may contact the admission helpdesk through the official email IDs and phone numbers mentioned in the Prospectus and website.,Dynamic,Official Website,admissions@manuu.edu.in,22-05-2026,Active
40,Admissions,admission_last_date,Prospective Student,ALL,ALL,What is the last date for admission?,admission deadline; last date apply; admission kab tak; form last date kya,,Please refer to the current admission notification on the official website for the latest admission deadline.,Dynamic,Admission Notification,admissions@manuu.edu.in,22-05-2026,Active
68,Admissions,admission_merit_selection,Prospective Student,ALL,ALL,Is admission based on merit or entrance examination?,entrance exam hai kya; merit admission; direct admission; admission ka basis kya,,"Admission to all UG, PG, Diploma, and Certificate programmes offered by CDOE is based on merit in the qualifying examination. However, admission to the B.Ed. and MBA programmes is granted through an entrance test. Candidates seeking admission to these two programmes must qualify in the respective entrance examination conducted by the University.",Dynamic,Admission Notification,admissions@manuu.edu.in,22-05-2026,Active
108,Admissions,admission_portal_browser_issue,Prospective Student,ALL,ALL,Which browser should I use for the admission portal?,portal not opening in mobile; browser issue; chrome use kare kya; portal compatible browser,,Students are advised to use updated browsers such as Chrome or Firefox for best performance.,Static,Portal Instructions,admissions@manuu.edu.in,22-05-2026,Active
120,Admissions,admission_portal_slow,Prospective Student,ALL,ALL,What should I do if the admission portal is slow or unresponsive?,portal slow hai; website hang ho raha; server busy; admission site not working,,Please try again during non-peak hours and ensure stable internet connectivity.,Dynamic,Technical Support,admissions@manuu.edu.in,22-05-2026,Active
6,Admissions,admission_process,Prospective Student,ALL,ALL,What is the admission process?,how to apply; admission procedure; online application; admission kaise lena; apply kaise karna; online form kaise bharna; admission process kya hai; admission form kidhar milega,,"For admission, candidates must fill out the online application form on the SAMARTH portal, upload the required documents, and pay the fee through online mode only.",Dynamic,Admission Notification,admissions@manuu.edu.in,22-05-2026,Active
99,Admissions,admission_rejected_reason,Prospective Student,ALL,ALL,Why was my admission application rejected?,application rejected; admission reject reason; form rejected kyun; admission not approved,,"Application may be rejected due to incomplete details, incorrect documents, or ineligibility.",Dynamic,Admission Rules,admissions@manuu.edu.in,22-05-2026,Active
125,Admissions,admission_sms_not_received,Prospective Student,ALL,ALL,What should I do if admission SMS is not received?,sms nahi aaya; mobile message missing; admission message issue; otp message problem,,Please ensure your mobile number is correct and active. Delays may occur due to network issues.,Dynamic,SAMARTH Portal,admissions@manuu.edu.in,22-05-2026,Active
133,Admissions,admission_status_not_updated,Prospective Student,ALL,ALL,Why is my admission status not updated even after payment?,status not updated; payment done but pending; admission approval delay; verification pending,,Admission status updates may take time due to verification and payment reconciliation.,Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
56,Admissions,admission_status_tracking,Prospective Student,ALL,ALL,How can I check my admission status?,admission status kaise check kare; application approved or not; admission confirmed kya; status tracking,,Students can check their admission status through the admission portal using their login credentials.,Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
89,Admissions,admission_through_agent_warning,Prospective Student,ALL,ALL,Should I apply through agents or consultants?,admission agents; consultancy admission; broker admission; kisi ke through apply kare kya,,"Students are advised to submit their applications only through the University's official admission portal, the SAMARTH portal. MANUU does not authorize, endorse, or appoint any agents, consultants, or intermediaries for admissions. Applicants are therefore cautioned against relying on unauthorized persons or making any payments to third parties in connection with the admission process. All official information and updates regarding admissions will be communicated only through the University's designated channels.",Static,Official Admission Guidelines,admissions@manuu.edu.in,22-05-2026,Active
98,Admissions,admission_under_process,Prospective Student,ALL,ALL,What does “Admission Under Process” mean on the portal?,admission under process meaning; status pending; application processing; approval pending,,“Admission Under Process” means the application is being verified by the University.,Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
137,Admissions,admission_using_cyber_cafe,Prospective Student,ALL,ALL,Can I fill the admission form through a cyber cafe?,cyber cafe admission; online centre se apply; cafe se form bharna; internet cafe admission,,"Yes, students may use cyber cafes or assistance centres for online application submission. ",Static,Admission Process,admissions@manuu.edu.in,22-05-2026,Active
73,Admissions,admission_without_aadhaar,Prospective Student,ALL,ALL,Can I apply for admission without Aadhaar card?,aadhaar compulsory kya; aadhaar nahi hai; bina aadhaar admission; aadhaar card required,,"Yes, you may apply for admission without Aadhaar card. However, any other government issued ID (like passport, PAN card, driving licence etc. ) is required for admission. ",Dynamic,Admission Guidelines,admissions@manuu.edu.in,22-05-2026,Active
97,Admissions,admission_without_originals,Prospective Student,ALL,ALL,Is it necessary to submit original certificates during admission?,original documents required; originals jama karna kya; xerox chalega kya; original certificates,,"Students are generally required to upload scanned copies, but originals may be verified when required.",Static,Document Verification Rules,admissions@manuu.edu.in,22-05-2026,Active
118,Admissions,admission_without_physical_visit,Prospective Student,ALL,ALL,Is it necessary to visit the University physically for admission?,university jana zaroori kya; physical verification; online admission complete; campus visit needed,,No. The entire admission process is conducted online. ,Dynamic,Admission Guidelines,admissions@manuu.edu.in,22-05-2026,Active
101,Admissions,admission_without_transfer_certificate,Prospective Student,UG/PG,ALL,Is Transfer Certificate (TC) compulsory for admission?,tc compulsory kya; transfer certificate required; tc nahi hai; migration certificate needed,,"No. Transfer Certificate (TC) is not required for admission to any programme offered by CDOE, MANUU. ",Static,Admission Guidelines,admissions@manuu.edu.in,22-05-2026,Active
95,Admissions,admission_without_urdu,Prospective Student,UG/PG,NON-URDU STUDENTS,Can non-Urdu students apply for MANUU programmes?,urdu nahi aati apply kar sakte kya; non urdu students eligible; english medium students; urdu compulsory for all,,Knowledge of Urdu is compulsory for admission to all programmes offered by MANUU. The specific Urdu eligibility requirements may vary from programme to programme. Applicants are therefore advised to refer to the relevant admission prospectus for detailed eligibility criteria.,Static,Programme Eligibility,admissions@manuu.edu.in,22-05-2026,Active
107,Admissions,age_relaxation_query,Prospective Student,ALL,SENIOR CITIZENS,Is there any age relaxation for senior citizens?,old age admission; senior citizens apply; retired people study; buzurg students,,"There is no upper age limit for admission to CDOE programmes. Eligible applicants of all ages, including senior citizens, are welcome to apply, provided they fulfil the prescribed educational and other eligibility requirements for the programme concerned.",Static,Eligibility Criteria,admissions@manuu.edu.in,22-05-2026,Active
41,Admissions,application_edit_permission,Prospective Student,ALL,ALL,Can I edit my application form after submission?,form correction; application edit; galat form bhar diya; admission form edit kaise kare,,Application editing is permitted only if the University provides a correction window. Please check official notifications regularly.,Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
47,Admissions,application_fee_refund,Prospective Student,ALL,ALL,Is the admission fee refundable?,fee refund; admission cancel refund; paisa wapas milega kya; refund policy kya,,Fee refund is governed by the University refund policy mentioned in the Prospectus and UGC guidelines.,Dynamic,Refund Policy,admissions@manuu.edu.in,22-05-2026,Active
127,Admissions,application_number_lost,Prospective Student,ALL,ALL,What should I do if I forget my application number?,application number bhool gaya; registration id lost; form number missing; application id nahi yaad,,Students may retrieve application details through the portal login or contact support.,Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
121,Admissions,application_save_draft,Prospective Student,ALL,ALL,Can I save my application form and complete it later?,save application draft; form later complete; partially filled form; draft save option,,"Yes, applicants can usually save their application progress and complete it later before final submission.",Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
129,Admissions,application_submission_error,Prospective Student,ALL,ALL,What should I do if the form is not submitting?,form submit nahi ho raha; application stuck; submit button not working; portal error,,"Try refreshing the page, checking mandatory fields, or using another browser/device.",Dynamic,Technical Support,admissions@manuu.edu.in,22-05-2026,Active
54,Admissions,category_certificate_requirement,Prospective Student,ALL,ALL,Is category certificate compulsory for reservation benefits?,sc certificate required; obc certificate; reservation document; category proof,,"Yes, valid category certificates must be uploaded to claim reservation benefits.",Static,Reservation Guidelines,admissions@manuu.edu.in,22-05-2026,Active
85,Admissions,category_change_request,Current Student,ALL,ALL,Can I change my category after form submission?,category correction; sc to obc; reservation category update; caste category change,,Category changes are subject to University rules and valid supporting certificates. Contact support for this. ,Dynamic,Reservation Policy,admissions@manuu.edu.in,22-05-2026,Active
34,Admissions,combined_fee_payment_second_year,Current Student,ALL,ALL,Can I pay both 2nd and 3rd year fees together during the 2nd year?,combined fee payment; 2nd year and 3rd year fee together; ek saath fees payment; second aur third year fees ek saath second year me,,"No, during the 2nd year, students may pay only the 2nd year fee.",Static,Fee Payment Rules,accounts@manuu.edu.in,22-05-2026,Active
33,Admissions,combined_reregistration_third_year,Current Student,PG/UG,YEAR-WISE PROGRAMMES,Can I take follow-on admission or re-registration into 2nd and 3rd year together?,pay 2nd and 3rd year together; combined re registration; follow on admission; second third year fees together; dono saal ki fees ek saath; combined registration,,"Yes, students may pay both 2nd and 3rd year fees together during the 3rd year or before completion of the maximum programme duration.",Static,Follow-on Admission Rules,accounts@manuu.edu.in,22-05-2026,Active
84,Admissions,date_of_birth_correction,Current Student,ALL,ALL,Can I change my date of birth after admission?,dob correction; birth date wrong; date of birth mistake; dob update,,Date of birth correction is allowed only upon submission of valid supporting documents and approval by the University.,Static,Admission Rules,admissions@manuu.edu.in,22-05-2026,Active
37,Admissions,deb_id_requirement,Prospective Student,ALL,ALL,Is DEB ID compulsory for admission?,deb id compulsory; deb id kya hai; deb id mandatory kya; admission without deb id; deb id kaise banana,,"Yes, DEB ID is mandatory for admission into ODL programmes as per UGC-DEB guidelines.",Static,Prospectus – Admission Guidelines,admissions@manuu.edu.in,22-05-2026,Active
130,Admissions,document_blur_issue,Prospective Student,ALL,ALL,Can blurred or unclear documents cause rejection?,blur documents; unclear upload; low quality certificates; upload clear nahi,,Application may be rejected if uploaded documents are unclear or unreadable.,Static,Document Upload Rules,admissions@manuu.edu.in,22-05-2026,Active
93,Admissions,document_format_issue,Prospective Student,ALL,ALL,What file formats are accepted for document upload?,document format; pdf upload; jpg allowed; upload format kya hai,,Accepted file formats and size limits are mentioned on the admission portal instructions.,Static,Portal Instructions,admissions@manuu.edu.in,22-05-2026,Active
53,Admissions,document_verification_process,Prospective Student,ALL,ALL,How does document verification take place?,document verification; certificates verification; original documents check; verification process kya,,Document verification is conducted as per University procedures after application submission.,Dynamic,Admission Process,admissions@manuu.edu.in,22-05-2026,Active
77,Admissions,duplicate_application_issue,Prospective Student,ALL,ALL,What happens if I submit multiple applications for the same programme?,duplicate application; same form twice; multiple registration; do baar apply kar diya,,Students should avoid duplicate applications. The University will process applications as per its rules.,Static,Admission Rules,admissions@manuu.edu.in,22-05-2026,Active
114,Admissions,duplicate_email_issue,Prospective Student,ALL,ALL,What if my email ID is already registered?,email already exists; duplicate email; email registered issue; same mail used,,Use the password recovery option or contact support if you are unable to access your account.,Dynamic,SAMARTH Portal,admissions@manuu.edu.in,22-05-2026,Active
110,Admissions,email_verification_issue,Prospective Student,ALL,ALL,What should I do if email verification fails?,email verify nahi ho raha; verification link problem; email otp issue; mail confirmation failed,,Please check spam folders and retry verification. Contact support if the issue continues.,Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
104,Admissions,employed_candidate_permission,Prospective Student,ALL,EMPLOYED CANDIDATES,Is employer permission required for admission?,job permission required; noc from office; employed student admission; office noc,,"Yes, employer permission is required only for admission into B.Ed. programme. For all other programmes, such permission is not required. ",Static,Admission Rules,admissions@manuu.edu.in,22-05-2026,Active
69,Admissions,entrance_exam_requirement,Prospective Student,ALL,PROGRAMMES WITH ENTRANCE,Is entrance examination compulsory for all programmes?,entrance compulsory kya; exam dena zaroori; admission test; entrance hota kya,,"Admission to all UG, PG, Diploma, and Certificate programmes offered by CDOE is based on merit in the qualifying examination. However, admission to the B.Ed. and MBA programmes is granted through an entrance test. Candidates seeking admission to these two programmes must qualify in the respective entrance examination conducted by the University.",Dynamic,Programme Admission Rules,admissions@manuu.edu.in,22-05-2026,Active
66,Admissions,ews_reservation,Prospective Student,ALL,EWS CATEGORY,Is EWS reservation available?,ews certificate accepted; ews quota; general ews reservation; ews benefit,,EWS reservation is available subject to submission of valid EWS certificate as per rules.,Static,Reservation Policy,admissions@manuu.edu.in,22-05-2026,Active
32,Admissions,expired_admission_readmission,Current Student,PG/UG,YEAR-WISE PROGRAMMES,How can I get re-admission after the expiry of admission tenure?,expired admission; late readmission; admission tenure over; admission khatam ho gaya; tenure over readmission; late re admission kaise,,"Please contact the Student Support Service Unit at 040-23008463 or 040-23120600 (Ext: 2207 & 2208), or email ssu.dde@manuu.edu.in",Static,Readmission Guidelines,ssu.dde@manuu.edu.in,22-05-2026,Active
60,Admissions,final_year_student_eligibility,Prospective Student,UG/PG,FINAL YEAR APPLICANTS,Can final-year students apply for admission?,final year apply kar sakte kya; result pending admission; appearing students eligible; backlog students apply,,Eligibility of final-year or result-pending students is subject to University admission rules and submission of qualifying certificates within prescribed time.,Dynamic,Eligibility Rules,admissions@manuu.edu.in,22-05-2026,Active
79,Admissions,foreign_qualification_equivalence,Prospective Student,UG/PG,FOREIGN QUALIFICATIONS,Are foreign qualifications accepted for admission?,foreign degree valid; abroad qualification; overseas certificate accepted; foreign education eligibility,,Foreign qualifications may require equivalence certification as per University and Government norms.,Static,Eligibility Rules,admissions@manuu.edu.in,22-05-2026,Active
51,Admissions,forgot_password,Prospective Student,ALL,ALL,How can I reset my admission portal password?,forgot password; password reset; login password bhool gaya; portal password kaise reset kare,,Use the “Forgot Password” option available on the admission portal to reset your password.,Static,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
49,Admissions,form_submission_confirmation,Prospective Student,ALL,ALL,How can I confirm whether my application form has been submitted successfully?,form submitted or not; application status; admission confirmation; form submit hua kya,,Students can verify their application status through the admission portal dashboard.,Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
105,Admissions,government_employee_admission,Prospective Student,ALL,GOVERNMENT EMPLOYEES,Can government employees apply for ODL programmes?,sarkari employees admission; govt job with degree; government staff apply; govt employee eligibility,,"Yes, government employees may apply subject to eligibility criteria and service rules.",Static,Eligibility Criteria,admissions@manuu.edu.in,22-05-2026,Active
74,Admissions,incomplete_application_rejection,Prospective Student,ALL,ALL,Can my application be rejected if details are incomplete?,incomplete form reject; details missing; application rejected why; form incomplete,,Application may be rejected if incomplete or incorrect information is submitted.,Static,Application Rules,admissions@manuu.edu.in,22-05-2026,Active
122,Admissions,incorrect_programme_selection,Prospective Student,ALL,ALL,What should I do if I selected the wrong programme in the application form?,wrong course selected; galat programme choose; incorrect programme application; wrong admission form,,"If the correction window is available, students may edit their application. Otherwise, contact admission support immediately.",Dynamic,Admission Portal,admissions@manuu.edu.in,22-05-2026,Active
138,Admissions,internet_connection_issue,Prospective Student,ALL,ALL,What should I do if internet disconnects while filling the application form?,internet disconnected; network issue during form; form close ho gaya; wifi problem,,Please log in again and continue from the saved application stage if draft-saving is available.,Static,Portal Instructions,admissions@manuu.edu.in,22-05-2026,Active
58,Admissions,invalid_document_upload,Prospective Student,ALL,ALL,What happens if I upload incorrect documents?,wrong documents uploaded; galat certificate upload; invalid upload; document mistake,,Application may be rejected if incorrect or invalid documents are uploaded. Students should upload accurate documents only.,Static,Admission Rules,admissions@manuu.edu.in,22-05-2026,Active
113,Admissions,invalid_mobile_number,Prospective Student,ALL,ALL,What if my mobile number is already registered on the portal?,mobile already registered; duplicate mobile issue; phone number exists; number already used,,Please use the password recovery option or contact technical support for assistance.,Dynamic,SAMARTH Portal,admissions@manuu.edu.in,22-05-2026,Active
55,Admissions,late_application_submission,Prospective Student,ALL,ALL,Can I apply after the last date of admission?,late admission possible kya; admission date over; last date ke baad apply; late form submission,,No. Late applications are accepted only if the University officially extends the admission deadline.,Dynamic,Admission Notification,admissions@manuu.edu.in,22-05-2026,Active
